city,time,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,hour,aqi_category,severity,risk_level
bengaluru,2025-12-15 03:00:00,59.1,58.0,745.0,30.0,31.0,101.0,,3,Moderate,2504.3,High Risk
bengaluru,2025-12-15 04:00:00,43.0,41.6,644.0,23.2,28.5,121.0,,4,Good,2194.8,High Risk
bengaluru,2025-12-15 05:00:00,38.3,36.9,475.0,11.7,24.3,148.0,,5,Good,1837.4,High Risk
bengaluru,2025-12-15 06:00:00,35.4,33.9,347.0,3.1,20.8,168.0,,6,Good,1569.3,High Risk
bengaluru,2025-12-15 07:00:00,34.2,32.6,307.0,0.6,18.8,174.0,,7,Good,1479.2,High Risk
bengaluru,2025-12-15 08:00:00,34.0,32.4,308.0,1.1,17.5,172.0,,8,Good,1470.4,High Risk
bengaluru,2025-12-15 09:00:00,34.0,32.2,321.0,2.5,16.6,167.0,,9,Good,1482.4,High Risk
bengaluru,2025-12-15 10:00:00,34.2,32.5,345.0,4.9,16.0,156.0,,10,Good,1506.7,High Risk
bengaluru,2025-12-15 11:00:00,35.0,33.3,381.0,8.4,15.8,142.0,,11,Good,1556.3,High Risk
bengaluru,2025-12-15 12:00:00,38.5,37.1,407.0,10.9,15.7,131.0,,12,Good,1614.4,High Risk
bengaluru,2025-12-11 00:00:00,30.4,29.5,348.0,8.4,20.8,92.0,,0,Good,1327.5,High Risk
bengaluru,2025-12-11 01:00:00,29.7,29.0,515.0,12.1,20.7,86.0,,1,Good,1653.3,High Risk
bengaluru,2025-12-11 02:00:00,30.7,30.2,730.0,17.6,21.2,79.0,,2,Good,2095.3,High Risk
bengaluru,2025-12-11 03:00:00,27.4,27.1,830.0,19.9,20.9,82.0,,3,Good,2286.9,High Risk
bengaluru,2025-12-11 04:00:00,22.0,21.7,701.0,16.0,18.8,105.0,,4,Good,2030.7,High Risk
bengaluru,2025-12-11 05:00:00,18.9,18.5,458.0,9.1,15.8,139.0,,5,Good,1581.8,High Risk
bengaluru,2025-12-11 06:00:00,17.2,16.8,274.0,3.8,13.3,163.0,,6,Good,1241.0,High Risk
bengaluru,2025-12-11 07:00:00,16.6,16.3,223.0,1.9,11.7,171.0,,7,Good,1144.7,High Risk
bengaluru,2025-12-11 08:00:00,16.0,15.7,231.0,1.6,10.6,169.0,,8,Good,1144.3,High Risk
bengaluru,2025-12-11 09:00:00,15.3,15.0,260.0,2.7,9.8,163.0,,9,Good,1179.9,High Risk
